record_type,team,source_player,target_player,connection_strength,avg_x_start,avg_y_start,avg_x_end,avg_y_end,avg_xthreat,progressive_passes,box_entries,pass_distance_avg,connection_id,total_actions,minutes_active,position_variance_x,position_variance_y,xthreat_total
connection,Vancouver,Joedrick Pupe,Emmanuel Sabbi,2,52.45,80.75,67.05,97.7,0.2464,0,0,22.5,Vancouver_Joedrick Pupe_Emmanuel Sabbi,,,,,
connection,Vancouver,Joedrick Pupe,Kenji Cabrera,1,58.0,92.7,66.8,98.4,0.084,0,0,10.48,Vancouver_Joedrick Pupe_Kenji Cabrera,,,,,
connection,Vancouver,Joedrick Pupe,Mathías Laborda,5,39.22,75.56,51.36,96.82,0.3695,0,0,24.89,Vancouver_Joedrick Pupe_Mathías Laborda,,,,,
connection,Vancouver,Joedrick Pupe,Ryan Gauld,1,39.7,68.2,46.0,92.9,0.2558,0,0,25.49,Vancouver_Joedrick Pupe_Ryan Gauld,,,,,
connection,Vancouver,Joedrick Pupe,Sebastian Berhalter,4,44.92,76.15,48.18,65.15,0.0091,0,0,16.55,Vancouver_Joedrick Pupe_Sebastian Berhalter,,,,,
connection,Vancouver,Joedrick Pupe,Thomas Müller,2,56.3,69.8,50.65,33.7,-0.2153,0,0,36.61,Vancouver_Joedrick Pupe_Thomas Müller,,,,,
connection,Vancouver,Joedrick Pupe,Tristan Blackmon,2,42.9,62.8,45.45,31.25,-0.1127,0,0,31.66,Vancouver_Joedrick Pupe_Tristan Blackmon,,,,,
connection,Vancouver,Joedrick Pupe,Yohei Takaoka,1,18.3,53.7,13.4,37.3,-0.0223,0,0,17.12,Vancouver_Joedrick Pupe_Yohei Takaoka,,,,,
connection,Vancouver,Kenji Cabrera,Sebastian Berhalter,2,70.7,90.3,65.4,71.55,-0.1825,0,0,19.57,Vancouver_Kenji Cabrera_Sebastian Berhalter,,,,,
connection,Vancouver,Mathías Laborda,Ali Ahmed,12,54.05,87.77,66.16,96.12,0.0979,0,0,16.54,Vancouver_Mathías Laborda_Ali Ahmed,,,,,
connection,Vancouver,Mathías Laborda,Andrés Cubas,13,50.49,90.82,49.24,74.54,-0.1468,0,0,16.91,Vancouver_Mathías Laborda_Andrés Cubas,,,,,
connection,Vancouver,Mathías Laborda,Brian White,1,36.6,70.0,51.5,47.5,-0.0222,1,0,26.99,Vancouver_Mathías Laborda_Brian White,,,,,
connection,Vancouver,Mathías Laborda,Emmanuel Sabbi,1,67.6,88.1,74.3,97.8,-0.0088,0,0,11.79,Vancouver_Mathías Laborda_Emmanuel Sabbi,,,,,
connection,Vancouver,Mathías Laborda,Joedrick Pupe,6,35.55,72.15,36.38,73.3,-0.0104,0,0,23.69,Vancouver_Mathías Laborda_Joedrick Pupe,,,,,
connection,Vancouver,Mathías Laborda,Ralph Priso,3,47.4,93.67,35.5,82.73,-0.2128,0,0,16.36,Vancouver_Mathías Laborda_Ralph Priso,,,,,
connection,Vancouver,Mathías Laborda,Ryan Gauld,3,41.1,85.83,54.0,90.83,-0.0071,2,0,23.17,Vancouver_Mathías Laborda_Ryan Gauld,,,,,
connection,Vancouver,Mathías Laborda,Sebastian Berhalter,7,47.33,91.79,46.37,72.46,-0.2163,2,0,22.45,Vancouver_Mathías Laborda_Sebastian Berhalter,,,,,
connection,Vancouver,Mathías Laborda,Thomas Müller,7,43.21,92.07,54.77,91.57,0.0974,1,0,16.89,Vancouver_Mathías Laborda_Thomas Müller,,,,,
connection,Vancouver,Mathías Laborda,Tristan Blackmon,1,44.9,77.8,38.0,43.1,-0.1972,0,0,35.38,Vancouver_Mathías Laborda_Tristan Blackmon,,,,,
connection,Vancouver,Mathías Laborda,Yohei Takaoka,1,42.2,94.8,43.0,88.3,-0.061,0,0,6.55,Vancouver_Mathías Laborda_Yohei Takaoka,,,,,
connection,Vancouver,Ralph Priso,Ali Ahmed,2,49.95,81.65,55.0,97.95,0.2849,0,0,17.07,Vancouver_Ralph Priso_Ali Ahmed,,,,,
connection,Vancouver,Ralph Priso,Andrés Cubas,2,40.65,68.95,42.9,66.6,0.0019,0,0,3.75,Vancouver_Ralph Priso_Andrés Cubas,,,,,
connection,Vancouver,Ralph Priso,Emmanuel Sabbi,1,44.8,78.2,58.3,1.7,-0.2378,0,0,77.68,Vancouver_Ralph Priso_Emmanuel Sabbi,,,,,
connection,Vancouver,Ralph Priso,Mathías Laborda,3,39.4,72.93,41.53,90.0,0.1329,0,0,18.29,Vancouver_Ralph Priso_Mathías Laborda,,,,,
connection,Vancouver,Ralph Priso,Sebastian Berhalter,3,53.7,50.97,59.3,42.57,-0.03,1,0,14.29,Vancouver_Ralph Priso_Sebastian Berhalter,,,,,
connection,Vancouver,Ralph Priso,Thomas Müller,4,51.72,76.12,63.25,81.45,0.0156,2,0,20.54,Vancouver_Ralph Priso_Thomas Müller,,,,,
connection,Vancouver,Ralph Priso,Tristan Blackmon,11,41.43,59.92,41.02,32.86,-0.0916,0,0,27.4,Vancouver_Ralph Priso_Tristan Blackmon,,,,,
connection,Vancouver,Ralph Priso,Yohei Takaoka,10,26.14,70.55,18.81,49.79,-0.0819,0,0,27.42,Vancouver_Ralph Priso_Yohei Takaoka,,,,,
connection,Vancouver,Ryan Gauld,Mathías Laborda,2,48.15,93.55,41.4,84.3,-0.1721,0,0,13.84,Vancouver_Ryan Gauld_Mathías Laborda,,,,,
connection,Vancouver,Ryan Gauld,Sebastian Berhalter,2,56.0,27.75,53.7,33.45,-0.0311,0,0,19.94,Vancouver_Ryan Gauld_Sebastian Berhalter,,,,,
connection,Vancouver,Ryan Gauld,Thomas Müller,2,69.05,71.7,67.5,59.85,-0.0917,0,0,12.38,Vancouver_Ryan Gauld_Thomas Müller,,,,,
connection,Vancouver,Ryan Gauld,Tristan Blackmon,1,62.2,38.5,47.1,36.6,-0.0365,0,0,15.22,Vancouver_Ryan Gauld_Tristan Blackmon,,,,,
