player,team,x,y,end_x,end_y,minute,second,is_successful,outcome_type,field_x,field_y,field_end_x,field_end_y,pass_distance
Alex Berenguer,Athletic Club,89.9,64.5,87.8,58.7,14,53.0,True,Successful,94.395,43.86,92.19,39.916000000000004,4.518535271523279
Iñaki Peña,Barcelona,5.1,52.2,21.2,33.7,15,14.0,True,Successful,5.3549999999999995,35.496,22.259999999999998,22.916,21.072148086989138
Pau Cubarsí,Barcelona,28.6,63.8,25.5,42.5,15,15.0,True,Successful,30.030000000000005,43.384,26.775000000000002,28.9,14.845244390039527
Gavi,Barcelona,32.0,44.6,32.3,30.8,15,19.0,True,Successful,33.6,30.328,33.91499999999999,20.944,9.389285436070201
Ronald Araújo,Barcelona,32.4,29.6,40.2,15.7,15,22.0,True,Successful,34.02,20.128000000000004,42.21,10.676,12.506654388764408
Eric García,Barcelona,40.9,15.8,35.7,28.9,15,24.0,True,Successful,42.945,10.744,37.48500000000001,19.651999999999997,10.448160795087329
Ronald Araújo,Barcelona,38.3,38.5,44.8,54.5,15,32.0,True,Successful,40.214999999999996,26.18,47.03999999999999,37.06,12.84348180985203
Pedri,Barcelona,44.8,54.5,43.9,11.6,15,33.0,True,Successful,47.03999999999999,37.06,46.095,7.888,29.18730218776652
Eric García,Barcelona,43.5,14.6,46.3,38.2,15,36.0,True,Successful,45.675,9.927999999999999,48.614999999999995,25.976,16.315082102153212
Pedri,Barcelona,46.1,49.3,54.8,91.4,15,39.0,True,Successful,48.405,33.524,57.53999999999999,62.152,30.050134924821883
Alejandro Balde,Barcelona,67.9,92.4,62.3,80.7,15,45.0,True,Successful,71.295,62.832,65.415,54.876000000000005,9.893044829575972
Pau Cubarsí,Barcelona,38.3,100.0,28.1,72.6,15,55.0,True,Successful,40.214999999999996,68.0,29.505000000000003,49.367999999999995,21.490824181496624
Iñaki Peña,Barcelona,27.5,72.9,32.8,48.2,15,58.0,True,Successful,28.875000000000004,49.572,34.44,32.776,17.693921018248044
Ronald Araújo,Barcelona,34.9,41.6,40.1,22.1,16,3.0,True,Successful,36.644999999999996,28.288000000000004,42.105000000000004,15.028,14.34012552246319
Unai Gómez,Athletic Club,50.0,50.1,26.8,51.1,17,57.0,True,Successful,52.5,34.068,28.14,34.748,24.369489120619658
Alejandro Balde,Barcelona,8.6,90.9,9.0,74.3,18,7.0,True,Successful,9.03,61.812000000000005,9.45,50.524,11.295810904932859
Unai Núñez,Athletic Club,61.3,9.1,72.5,3.4,18,29.0,True,Successful,64.365,6.188,76.125,2.3120000000000003,12.38228476493737
Óscar De Marcos,Athletic Club,72.2,0.0,58.9,3.4,18,46.0,True,Successful,75.81,0.0,61.845,2.3120000000000003,14.155089861954254
Íñigo Ruíz de Galarreta,Athletic Club,51.0,4.3,27.9,31.6,18,49.0,True,Successful,53.550000000000004,2.924,29.294999999999998,21.488,30.543855699632953
Unai Núñez,Athletic Club,27.3,34.3,17.8,48.7,18,53.0,True,Successful,28.665000000000003,23.323999999999998,18.69,33.116,13.977978716538384
Unai Simón,Athletic Club,19.9,57.0,67.0,45.8,18,59.0,True,Successful,20.895,38.76,70.35000000000001,31.144,50.037990377312326
Íñigo Ruíz de Galarreta,Athletic Club,69.1,40.7,91.0,62.2,19,50.0,True,Successful,72.55499999999999,27.676000000000002,95.55,42.296,27.2491178756304
Ronald Araújo,Barcelona,22.7,44.2,31.0,19.7,20,23.0,True,Successful,23.834999999999997,30.056,32.55,13.395999999999999,18.80177717663945
Eric García,Barcelona,31.1,17.3,26.2,27.7,20,24.0,True,Successful,32.655,11.764000000000001,27.51,18.836,8.745525084293108
Ronald Araújo,Barcelona,25.5,28.6,9.5,50.0,20,26.0,True,Successful,26.775000000000002,19.448,9.975,34.0,22.226126608115955
Iñaki Peña,Barcelona,9.3,50.0,15.8,49.0,20,29.0,True,Successful,9.765,34.0,16.59,33.32,6.858791803225987
Pedri,Barcelona,13.2,48.7,12.4,30.4,20,30.0,True,Successful,13.860000000000001,33.116,13.02,20.672,12.472318790024572
Ronald Araújo,Barcelona,13.2,24.8,18.0,5.2,20,37.0,True,Successful,13.860000000000001,16.864,18.9,3.5360000000000005,14.249111691610812
Eric García,Barcelona,17.4,5.8,25.4,9.5,20,39.0,True,Successful,18.27,3.944,26.67,6.46,8.768708912947222
Pedri,Barcelona,25.5,8.9,32.2,22.0,20,41.0,True,Successful,26.775000000000002,6.0520000000000005,33.81,14.96,11.350933397743114
Ronald Araújo,Barcelona,25.2,28.4,29.6,37.6,21,0.0,True,Successful,26.46,19.311999999999998,31.080000000000005,25.568,7.777013308462323
Gavi,Barcelona,28.6,47.0,25.7,27.2,21,1.0,True,Successful,30.030000000000005,31.959999999999997,26.985,18.496000000000002,13.804032780314596
Ronald Araújo,Barcelona,25.7,27.1,31.0,33.7,21,3.0,True,Successful,26.985,18.428,32.55,22.916,7.149221566016818
Fermín López,Barcelona,31.7,33.5,28.6,44.5,21,3.0,True,Successful,33.285000000000004,22.78,30.030000000000005,30.26,8.15753792513403
Gavi,Barcelona,30.0,51.0,32.0,90.0,21,6.0,True,Successful,31.5,34.68,33.6,61.2,26.6030148667402
Alejandro Balde,Barcelona,32.3,93.0,22.1,71.6,21,10.0,True,Successful,33.91499999999999,63.24,23.205000000000002,48.687999999999995,18.06833705685169
Pau Cubarsí,Barcelona,14.0,70.4,32.0,52.2,21,12.0,True,Successful,14.700000000000001,47.87200000000001,33.6,35.496,22.591489016884214
Pedri,Barcelona,32.6,44.2,38.6,8.8,21,18.0,True,Successful,34.230000000000004,30.056,40.53,5.984000000000001,24.88274872275971
Gavi,Barcelona,25.8,43.0,23.0,22.1,21,30.0,True,Successful,27.09,29.24,24.150000000000002,15.028,14.51290956355754
Pedri,Barcelona,33.3,11.9,34.1,8.5,21,35.0,True,Successful,34.964999999999996,8.092,35.805,5.78,2.459866663053103
Lamine Yamal,Barcelona,34.4,8.2,34.4,18.4,21,35.0,True,Successful,36.12,5.576,36.12,12.512,6.936000000000001
Gavi,Barcelona,34.5,20.2,34.8,40.7,21,38.0,True,Successful,36.224999999999994,13.735999999999999,36.54,27.676000000000002,13.943558548663253
Fermín López,Barcelona,34.8,41.6,42.0,35.3,21,38.0,True,Successful,36.54,28.288000000000004,44.1,24.003999999999998,8.689433583381605
Robert Lewandowski,Barcelona,42.0,35.3,37.5,49.3,21,39.0,True,Successful,44.1,24.003999999999998,39.375,33.524,10.628077201450886
Raphinha,Barcelona,39.6,92.6,29.7,72.0,21,47.0,True,Successful,41.580000000000005,62.967999999999996,31.185,48.96,17.443626027864735
Pau Cubarsí,Barcelona,27.4,70.1,33.7,54.0,21,50.0,True,Successful,28.769999999999996,47.668,35.385000000000005,36.72,12.791283321074557
Gavi,Barcelona,47.9,68.0,48.4,88.4,22,1.0,True,Successful,50.294999999999995,46.24,50.82,60.112,13.881931025617437
Alejandro Balde,Barcelona,55.3,74.3,45.2,56.6,22,5.0,True,Successful,58.06499999999999,50.524,47.46,38.48800000000001,16.041549831609153
Pedri,Barcelona,45.3,51.5,51.3,23.5,22,8.0,True,Successful,47.565,35.02,53.865,15.979999999999999,20.055213785946044
Eric García,Barcelona,51.3,23.5,56.4,14.9,22,11.0,True,Successful,53.865,15.979999999999999,59.21999999999999,10.132,7.929383897882602
Lamine Yamal,Barcelona,57.4,15.7,44.0,19.3,22,11.0,True,Successful,60.269999999999996,10.676,46.2,13.124,14.28137262310594
Eric García,Barcelona,41.6,15.7,35.5,40.0,22,14.0,True,Successful,43.68000000000001,10.676,37.275,27.200000000000003,17.721924302964396
